objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"LINKX","431290","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","124982374","5.53075","6.83929","1","15945","118","thing","LINKX","2","2","10","10","10","2025","2","2","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Linwood","42380","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","59979545","5.49819","5.47717","1.5833","25128","141","thing","Linwood","2","6","30","30","30","2009","3,4,5,6","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Linx","399757","6","3","0","0","0","1","1","1","0","1","1","3","","","","","","117747105","5.49136","5.53483","1","26463","326","thing","Linx","2","4","20","20","10","2023","2,3,4","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Little Alchemists","418812","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","124297694","5.81725","7.81736","2.2143","4466","1061","thing","Little Alchemists","2","4","40","40","20","2024","2,3,4","4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Little Devils","111173","6.7","4","0","1","0","0","0","0","0","0","0","3","","","","","","120116041","5.67342","6.14543","1.3488","6692","1676","thing","Little Devils","3","6","15","15","15","2012","4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","713757485500","5","USD","","","2024-11-15","BGG","1","assumed price","","2024-11-15","","","",""
"Little Factory","306300","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","93664387","5.77632","6.42734","1.8519","4943","1799","thing","Little Factory","1","4","40","40","20","2020","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Little Flower Shop Dice Game","327498","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","97415983","5.52206","6.18207","2","18147","337","thing","The Little Flower Shop Dice Game","1","4","40","40","20","2021","2,3,4","1","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Little Mermaid","364737","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","101480035","0","5.75","0","0","12","thing","The Little Mermaid","2","4","20","20","20","2022","","","6","","","","","","","standalone","","","","","","","","","","","","","","",""
"The Little Prince: Make Me a Planet","134453","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","93768121","6.36363","6.88998","1.5792","1634","5109","thing","The Little Prince: Make Me a Planet","2","5","25","25","25","2013","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Little Soldiers","404356","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","135113675","5.51953","6.69406","2","18862","162","thing","Little Soldiers","2","4","30","30","30","2025","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Little Tavern","403250","0","0","0","0","0","0","0","1","0","0","1","2","","","","","","118346887","5.58945","6.34007","1.2727","9663","675","thing","Little Tavern","3","5","25","25","25","2024","3,4,5","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Little Town","241266","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","133450063","6.56783","7.15068","1.9496","1138","8258","thing","Little Town","2","4","60","60","30","2017","2,3,4","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"A Little Wordy","335869","5","1","0","0","0","0","0","0","1","0","0","1","","","","","","93105170","5.92451","6.6947","1.24","3585","5117","thing","A Little Wordy","2","2","15","15","5","2021","2","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","10.67","USD","","","2022-06-12","Target","1","","","2022-06-15","","","",""
"Living Forest","328479","7.5","10","3","1","0","0","0","0","0","0","0","1","#large","Deck Building","","","","88614488","6.79606","7.23571","2.2143","739","12770","thing","Living Forest","1","4","40","40","40","2021","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","3760269592117","31.99","USD","","","2022-01-27","Night Owl","1","","","2022-02-07","","","",""
"Living Forest Duel","427260","0","2","0","0","0","0","0","1","0","0","1","1","","","","","","122891007","5.60394","6.3157","2.4545","8903","525","thing","Living Forest Duel","2","2","20","20","20","2025","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Living Forest: Kodama","371429","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","103424192","5.895","7.85305","2.3846","0","2201","thing","Living Forest: Kodama","1","4","50","50","25","2023","2,3,4","2,3","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Livingstone","40444","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","134603078","5.87735","6.42521","2.0177","3914","2054","thing","Livingstone","2","5","35","35","35","2009","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Llama Llama","444547","0","1","0","0","0","0","0","1","0","0","0","3","","","","","","132946186","5.53354","6.6575","1.5","15366","300","thing","Llama Llama","2","4","15","15","15","2025","4","4","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Llamaland","330038","6.8","1","0","0","0","0","0","1","0","0","0","3","","","","","","79127420","6.4279","7.2742","2.0303","1472","5303","thing","Llamaland","2","4","45","45","45","2021","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Llamas Unleashed","268936","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","57724162","5.60261","6.11365","1.5833","8970","3484","thing","Llamas Unleashed","2","8","45","45","30","2019","2,3,4,5,6,7,8","4,5","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Loco Momo","317299","7.3","17","3","1","0","0","0","0","0","0","0","1","","","","","","89839310","5.78509","6.3947","1.2353","4839","1084","thing","Loco Momo","1","4","30","30","20","2020","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","4711048940147","13.03","","","","2025-04-01","Amazon","1","","","2025-04-03","","","",""
"Locus","428322","0","0","0","0","0","0","0","1","0","0","1","4","","","","","","133192682","5.58316","7.34957","1.6667","10057","342","thing","Locus","1","5","30","30","30","2024","1,2,3,4,5","1","8","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Lodge","451928","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","136328402","0","7","2","0","18","thing","Lodge","2","6","30","30","20","2025","3,4,5,6","4,5","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Lofoten","361905","0","0","0","0","0","0","0","1","0","0","1","3","","","","","","96399842","5.6549","6.54971","2.2857","7125","1148","thing","Lofoten","2","2","45","45","40","2022","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Logger","36985","5","0","0","0","0","0","0","0","0","0","0","3","","","","","","74572828","5.49904","5.53386","1.8889","24930","42","thing","Logger","2","4","30","30","30","2008","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Logic & Lore","410238","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","135426386","5.59704","8.07296","2","9253","325","thing","Logic & Lore","2","2","30","30","30","2025","2","2","","","","","","","","standalone","","","","","","","","","","","","","","",""
"LOLZ: The Gift of Laughter! – The Naughty VOL 1","208035","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","125032588","0","3.5","0","0","6","thing","LOLZ: The Gift of Laughter! – The Naughty VOL 1","4","12","15","15","5","2016","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"LOLZ: The Gift of Laughter! – The Original VOL 1","208032","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","125032580","0","4","0","0","25","thing","LOLZ: The Gift of Laughter! – The Original VOL 1","4","12","15","15","5","2016","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"LOLZ: The Gift of Laughter! – The Original VOL 2","208033","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","125032596","0","0","0","0","4","thing","LOLZ: The Gift of Laughter! – The Original VOL 2","4","12","15","15","5","2016","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Long Shot","40237","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","92584493","6.10317","6.70987","1.7449","2582","2373","thing","Long Shot","3","8","60","60","60","2009","3,4,5,6,7,8","5","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Long Shot: The Dice Game","295374","7.2","4","3","1","0","0","0","0","0","0","0","1","#medium","","","","","88897042","7.13877","7.54825","1.9415","347","17871","thing","Long Shot: The Dice Game","1","8","25","25","25","2022","1,2,3,4,5,6,7,8","4,5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","859094005343","15","USD","","","2022-07-05","Facebook Marketplace","1","","","2022-07-05","","","",""
"Longboard","357203","6","3","0","0","0","0","0","0","1","0","0","1","","Set Collection","","","","91564428","5.69907","6.51589","1.1333","6115","1255","thing","Longboard","2","4","30","30","20","2022","2,3,4","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","Trade in black and read assumed five bucks. ","","","","","",""
"Look at the Stars","365453","0","5","0","0","0","0","0","1","0","0","1","2","","","","","","97901576","5.60817","6.24328","1.3333","8715","473","thing","Look at the Stars","2","8","30","30","20","2022","2,3,4,5,6,7,8","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Loony Quest","136991","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","120753376","6.50689","6.86565","1.1875","1268","10554","thing","Loony Quest","2","5","30","30","20","2015","2,3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Looot","410991","8","20","3","1","0","0","0","0","0","0","0","1","","","","","","120347407","6.23181","7.06677","2.0896","2054","2749","thing","Looot","2","4","35","35","35","2024","2,3,4","2,3","10+","No necessary in-game text","","","","","","standalone","3421274397219","16.14","USD","","","2024-12-15","Night Owl","1","","","2024-12-15","","","",""
"Looot: New Longships and Shields","421976","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","120347445","0","7.61885","0","0","173","thing","Looot: New Longships and Shields","2","4","35","35","35","2024","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"The LOOP","316412","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","89273925","6.98956","7.70684","2.8057","498","10951","thing","The LOOP","1","4","60","60","60","2020","1,2,3,4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Loose Caboose!","359644","5.8","2","0","0","0","1","1","0","0","0","1","4","","","","","","100508568","5.53385","6.31747","1.3333","15294","287","thing","Loose Caboose!","2","4","15","15","10","2022","2,3,4","2,3","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Loot","770","6.5","6","2","1","0","0","0","0","0","0","0","3","#small","","","","","56851255","6.07974","6.29665","1.3808","2685","13479","thing","Loot","2","8","20","20","20","1992","3,4,5,6,8","4","6+","No necessary in-game text","","","","","","standalone","759751002312","5.4","USD","","","2021-11-27","Facebook Marketplace","1","","","2021-12-01","","","",""
"Loot","424225","0","0","0","0","0","0","0","1","0","1","1","3","","","","","","130441485","5.49645","5.48189","1.4","25509","800","thing","Loot","2","4","20","20","20","2024","","","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Loot Dispute","362889","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","129200038","0","7.38462","1","0","28","thing","Loot Dispute","2","4","45","45","30","2024","3,4","3,4","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Loot of Lima","293972","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","65970682","5.71216","6.80775","2.75","5871","1635","thing","Loot of Lima","1","5","90","90","60","2020","2,3,4,5","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Loot&Roll","397745","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","109455774","0","0","0","0","19","thing","Loot&Roll","1","4","30","30","15","2023","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"The Lord of the Rings: Adventure to Mount Doom","366278","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","113394704","5.72274","6.64563","1.72","5690","1706","thing","The Lord of the Rings: Adventure to Mount Doom","1","4","50","50","50","2023","1,2,3,4","1,2","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Lord of the Rings: Duel for Middle-earth","421006","7.8","1","0","0","0","1","1","0","0","0","1","2","","","","","","121905574","7.90238","8.35878","2.0616","31","31112","thing","The Lord of the Rings: Duel for Middle-earth","2","2","30","30","30","2024","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Lord of the Rings: Duel for Middle-Earth – Allies","450429","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","138012607","5.56247","7.88378","0","0","1239","thing","The Lord of the Rings: Duel for Middle-Earth – Allies","2","2","30","30","30","2025","2","2","","","","","","","","expansion","","","","","","","","","","","","","","",""
"The Lord of the Rings: Fate of the Fellowship","436217","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","130012162","7.18292","8.30404","2.9907","311","9168","thing","The Lord of the Rings: Fate of the Fellowship","1","5","150","150","60","2025","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Lord of the Rings: The Confrontation","3201","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","102733413","6.77976","7.22167","2.15","767","8711","thing","Lord of the Rings: The Confrontation","2","2","30","30","30","2002","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Lord of the Rings: The Fellowship of the Ring – Trick-Taking Game","429293","7.3","1","0","0","0","1","1","0","0","0","1","2","","","","","","127916936","7.24883","7.95617","1.963","263","16113","thing","The Lord of the Rings: The Fellowship of the Ring – Trick-Taking Game","1","4","20","20","20","2024","1,2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Lord of the Rings: The Fellowship of the Ring – Trick-Taking Game: Gifts of Galadriel","429649","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","130273012","5.59874","7.28946","0","0","1780","thing","The Lord of the Rings: The Fellowship of the Ring – Trick-Taking Game: Gifts of Galadriel","1","4","20","20","20","2024","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"The Lord of the Rings: The Two Towers Deck-Building Game","142555","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","135622205","5.79503","6.88486","2.1786","4718","1670","thing","The Lord of the Rings: The Two Towers Deck-Building Game","2","5","45","45","30","2013","2,3,4,5","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Lords of Baseball","97155","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","94342134","5.64219","7.75669","2.6667","7471","368","thing","Lords of Baseball","1","4","150","150","90","2024","1,2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Lords of Vegas","20437","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","104668589","6.92366","7.35246","2.3414","581","10098","thing","Lords of Vegas","2","4","90","90","60","2010","3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Lords of Waterdeep","110327","0","0","0","0","0","0","0","1","0","0","1","4","","","","","","77724004","7.58491","7.73054","2.4493","102","73331","thing","Lords of Waterdeep","2","5","120","120","60","2012","2,3,4,5","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Lords of Worlds","415182","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","131675966","0","6.75","1.5","0","21","thing","Lords of Worlds","2","4","60","60","45","2025","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Lore","381587","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","126641828","5.54788","6.86983","2.75","13104","318","thing","Lore","2","4","90","90","60","2024","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Lorenzo il Magnifico","203993","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","79906782","7.49507","7.83189","3.2842","134","17547","thing","Lorenzo il Magnifico","2","4","120","120","60","2016","2,3,4","3,4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Lost Cities","50","5","7","0","0","0","0","0","0","1","1","1","4","","Cards","","","","53700326","7.14863","7.25383","1.4749","342","73773","thing","Lost Cities","2","2","30","30","30","1999","2","2","8+","No necessary in-game text","","","","","","standalone","","10.66","USD","","","2022-06-12","Facebook Marketplace","1","Previously 5 in August 2018","","2022-06-15","","","",""
"Lost Cities: Rivals","253398","7.9","1","0","1","0","0","0","0","0","0","0","2","#small","","","","","57199822","5.99274","6.66889","1.9286","3133","4067","thing","Lost Cities: Rivals","2","4","40","40","40","2018","3,4","3","8+","No necessary in-game text","","","","","","standalone","814743013643","5","USD","","","2024-03-08","BGG","1","","","2024-03-08","","","",""
"Lost Cities: Roll & Write","327831","0","0","0","0","0","0","0","1","0","1","0","1","#write","","","","","80812236","6.05554","7.0364","1.1818","2807","3295","thing","Lost Cities: Roll & Write","2","5","30","30","30","2021","2,3,4,5","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Lost Cities: To Go","244795","0","0","0","0","0","0","0","1","0","1","1","3","","","","","","109280445","5.61028","6.39224","1.3333","8622","747","thing","Lost Cities: To Go","2","2","20","20","20","2018","2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Lost in R'lyeh","197707","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","93879379","5.59424","6.04275","1.1429","9394","1656","thing","Lost in R'lyeh","2","6","45","45","45","2016","2,3,4,5","4,5","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Lost Kingdoms: Pangea in Pieces","288251","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","117789044","5.54096","6.7061","2","14072","249","thing","Lost Kingdoms: Pangea in Pieces","1","5","60","60","30","2021","3,4,5","3,5","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Lost Legacy","142039","0","0","0","0","0","0","0","1","0","0","0","4","","","","","","54025267","5.81912","6.45514","1.3167","0","1825","thing","Lost Legacy","2","6","30","30","20","2013","3,4,5,6","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Lost Legends","131891","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","77706850","5.82123","6.34355","2.4444","4431","3058","thing","Lost Legends","3","5","70","70","70","2013","3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Lost Ruins of Arnak","312484","7.6","9","0","0","0","1","1","0","1","0","1","2","","","","","","79658743","7.90538","8.07448","2.9346","28","80450","thing","Lost Ruins of Arnak","1","4","120","120","30","2020","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","26.7","USD","","","2023-07-22","Barnes & Noble","1","Sold for 25","","2023-07-22","","","",""
"Lost Ruins of Arnak: Expedition Leaders","341254","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","104794187","7.98759","8.70241","3.1075","0","32604","thing","Lost Ruins of Arnak: Expedition Leaders","1","4","120","120","30","2021","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Lost Ruins of Arnak: The Missing Expedition","382350","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","104794181","7.23132","8.67088","3.25","0","16804","thing","Lost Ruins of Arnak: The Missing Expedition","1","4","120","120","30","2023","1,2,3,4","1,2,3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Lost Ruins of Arnak: Twisted Paths","439816","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","129900078","6.10022","8.78224","3.4706","0","4076","thing","Lost Ruins of Arnak: Twisted Paths","1","4","120","120","30","2025","1,2,3,4","1,2,3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Lost Seas","353543","6.75","4","0","0","0","0","0","1","0","0","0","3","","","","","","100532069","5.80123","6.77301","1.7368","4645","684","thing","Lost Seas","2","4","30","30","20","2022","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Lost Temple","102835","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","62828027","5.61012","5.87362","1.7551","8630","1690","thing","Lost Temple","2","8","40","40","40","2011","3,4,5,6,7","5,6","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Love Letter","129622","8","4","0","0","0","0","0","0","0","0","0","4","","","","","","53702790","7.12373","7.22635","1.1848","362","115887","thing","Love Letter","2","4","20","20","20","2012","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Love Letter","277085","9.2","6","2","1","0","0","0","0","0","0","0","1","#small","Deduction","","","","62663538","7.16844","7.50824","1.1111","325","28139","thing","Love Letter","2","6","20","20","20","2019","3,4,5,6","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","Target","1","","","","","","",""
"Love Letter Stories","437769","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","130156103","0","6.05152","0","0","31","thing","Love Letter Stories","2","4","60","60","60","2025","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Love Letter to Lady Luck","358044","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","97780155","0","0","0","0","2","thing","Love Letter to Lady Luck","3","4","20","20","20","2013","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Love Letter: 2nd Edition","361207","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","97780066","5.53563","7.61489","2.25","14979","217","thing","Love Letter: 2nd Edition","2","5","10","10","10","2022","","","","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Love Letter: Adventure Time","175307","0","0","0","0","0","0","0","1","0","1","1","3","","","","","","107990471","6.2458","7.25991","1.098","1999","4371","thing","Love Letter: Adventure Time","2","4","20","20","20","2015","3,4","4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Love Letter: Batman","168584","0","0","0","0","0","0","0","0","0","1","0","3","","","","","","116836941","6.73509","7.27574","1.1884","832","10390","thing","Love Letter: Batman","2","4","20","20","20","2015","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Love Letter: Bridgerton","406459","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","116836708","5.59259","6.81464","1.3333","9464","829","thing","Love Letter: Bridgerton","2","6","20","20","20","2024","3,4,5","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Love Letter: Premium Edition","196326","8","24","3","0","0","0","0","0","1","0","0","3","","Deduction","","","","55037028","6.8817","7.43237","1.2975","633","11296","thing","Love Letter: Premium Edition","2","8","30","30","20","2016","3,4,5,6,7,8","4,5,6","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","26.94","USD","","","2018-10-13","Barnes & Noble","1","","Sold","2018-10-13","","","",""
"Love Letter: Princess Princess Ever After","339905","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","88832783","5.75327","7.24834","1.1111","5236","1359","thing","Love Letter: Princess Princess Ever After","2","6","20","20","20","2021","2,3,4,5,6","4","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Lovecraft Letter","198740","7","1","0","0","0","0","0","1","0","1","1","4","","","","","","61415206","6.68159","7.2242","1.4455","920","10144","thing","Lovecraft Letter","2","6","15","15","5","2017","3,4,5,6","4,5","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Lowdown Go!","225481","5.5","1","1","1","0","0","0","0","0","0","0","1","#micro","","","","","69753705","5.50901","5.76921","1.2","22120","569","thing","Lowdown","2","6","60","60","30","2021","2,3,4","2","8+","","","","","","","standalone","194735051519","","","","","2022-01-22","Dollar Tree","1","","","2022-01-22","Mattel, Inc.","English","2021","English edition"
"Lowlands","242804","0","0","0","0","0","0","0","0","1","0","0","3","#large","","","","","88735794","6.59054","7.3753","3.09","1092","5342","thing","Lowlands","2","4","100","100","50","2018","2,3,4","3","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","5.33","USD","","","2022-08-20","Facebook Marketplace","1","Bundle sale 55 black and read","","2022-08-20","","","",""
"Lucidity: Six-Sided Nightmares","222145","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","109807267","5.72536","6.32384","1.84","5654","2868","thing","Lucidity: Six-Sided Nightmares","1","4","30","30","20","2018","1,2,3,4","1,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Lucky Dogs Dice Game","214098","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","101740143","0","5.38462","0","0","40","thing","Lucky Dogs Dice Game","2","4","15","0","15","2016","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Lucky Numbers","118247","5","12","0","0","0","0","0","1","1","1","1","3","","","","","","74528921","6.05176","6.3951","1.1351","2831","4265","thing","Lucky Numbers","1","4","20","20","20","2012","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","9.99","USD","","","2022-12-26","Barnes & Noble","1","","","2022-12-26","","","",""
"The Lucky Seven","381726","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","108050428","5.60428","7.49173","1.5714","8889","407","thing","The Lucky Seven","1","1","20","20","10","2023","1","1","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Lumberjacks with Rocket Launchers","400144","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","118965889","5.50842","6.30761","1","22291","113","thing","Lumberjacks with Rocket Launchers","3","8","20","20","15","2024","4,5,6,7,8","5,6,7","5+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Lumen: The Lost World","377947","0","1","0","0","0","0","0","1","0","0","0","3","","","","","","102267137","5.49939","5.52909","2.2","24841","124","thing","Lumen: The Lost World","2","2","45","0","45","2023","2","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Lumicora","413299","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","117791658","5.56035","6.62197","2.3333","11788","298","thing","Lumicora","2","4","60","60","40","2024","2,3,4","3","10","","","","","","","standalone","","","","","","","","","","","","","","",""
"Luna","70512","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","112256692","6.73409","7.27948","3.323","834","6930","thing","Luna","1","4","100","100","60","2010","1,2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
